Board code:CASCO_EIOCOM2  
Serial number:00001678901234567855
Mac address A:00.16.9b.02.40.21
Mac address B:00.16.9b.02.40.22
line:504 task_prio:9 id:25 file_crc:0x3e635212 context:25 can_days:0 can_ms:0
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:219470
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:639 task_prio:1 id:2 file_crc:0xfbec9990 context:1009515839 can_days:0 can_ms:0
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1344 task_prio:2 id:75 file_crc:0x8a00d74a context:1 can_days:0 can_ms:1497605
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:1497675
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:5008820
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2225 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:5203495
line:2225 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:5203510
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:5932705
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:639 task_prio:1 id:2 file_crc:0xfbec9990 context:1009515839 can_days:0 can_ms:0
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:9969400
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1344 task_prio:2 id:75 file_crc:0x8a00d74a context:1 can_days:0 can_ms:2173905
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:2173945
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:2750695
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2225 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:2945345
line:2225 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:2945360
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:6618780
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:639 task_prio:1 id:2 file_crc:0xfbec9990 context:1009515823 can_days:0 can_ms:0
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:12 can_days:0 can_ms:316235
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2225 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:7826195
line:2225 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:7826210
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:8069485
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:639 task_prio:1 id:2 file_crc:0xfbec9990 context:1009515839 can_days:0 can_ms:0
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:9101375
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:12 can_days:0 can_ms:2105575
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:9 id:72 file_crc:0x8a00d74a context:9 can_days:0 can_ms:11595125
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1457 task_prio:255 id:26 file_crc:0xfbec9990 context:4 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:12 can_days:0 can_ms:503220
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:639 task_prio:1 id:2 file_crc:0xfbec9990 context:1009777983 can_days:0 can_ms:0
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:639 task_prio:1 id:2 file_crc:0xfbec9990 context:1007418687 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1104 task_prio:3 id:6 file_crc:0xfac627ca context:0 can_days:0 can_ms:0
line:463 task_prio:10 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:6138745
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:12 can_days:0 can_ms:679325
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1457 task_prio:255 id:26 file_crc:0xfbec9990 context:4 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:12 can_days:0 can_ms:2093520
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:12 can_days:0 can_ms:2114515
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1457 task_prio:255 id:26 file_crc:0xfbec9990 context:4 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:12 can_days:0 can_ms:2677605
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
