Board code:CASCO_EIOCOM2  
Serial number:00001678901234567855
Mac address A:00.16.9b.02.40.21
Mac address B:00.16.9b.02.40.22
line:504 task_prio:9 id:25 file_crc:0x3e635212 context:25 can_days:0 can_ms:0
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:1511630
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:31 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:31 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:1242250
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:16 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:18 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:13849 can_ms:19702022
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1264 task_prio:2 id:10 file_crc:0x8a00d74a context:1 can_days:0 can_ms:349460
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:2239730
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:219490
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:31 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1344 task_prio:2 id:75 file_crc:0x8a00d74a context:0 can_days:0 can_ms:1497610
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:1497645
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:5008825
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:5932735
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:18 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:9969435
line:2361 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1344 task_prio:2 id:75 file_crc:0x8a00d74a context:0 can_days:0 can_ms:2173910
line:681 task_prio:14 id:72 file_crc:0x8a00d74a context:16 can_days:0 can_ms:2173935
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:2750700
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:6618800
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:18 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:316315
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2225 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:7826195
line:2225 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:7826210
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:8069500
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:31 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:9101405
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:2105625
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:11595165
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:1457 task_prio:255 id:26 file_crc:0xfbec9990 context:4 can_days:0 can_ms:0
line:681 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:503250
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:31 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
line:1104 task_prio:1 id:6 file_crc:0xfac627ca context:0 can_days:0 can_ms:0
line:2369 task_prio:8 id:79 file_crc:0xd742973f context:0 can_days:0 can_ms:0
line:1461 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:463 task_prio:18 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:0
