Board code:CASCO_VOOB16E  
Serial number:00006
Mac address A:00.16.9b.02.40.2a
Mac address B:00.16.9b.02.40.2b
line:512 task_prio:11 id:25 file_crc:0x3e635212 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:1195660
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:1195705
line:513 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:2764255
line:837 task_prio:5 id:74 file_crc:0x8a00d74a context:7 can_days:0 can_ms:0
line:1319 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:3067410
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:3067455
line:703 task_prio:25 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:3310390
line:1319 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:8881210
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:8881255
line:513 task_prio:1 id:72 file_crc:0x8a00d74a context:11 can_days:0 can_ms:9210675
line:837 task_prio:5 id:74 file_crc:0x8a00d74a context:7 can_days:0 can_ms:0
line:1319 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:9511360
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:9511405
line:703 task_prio:0 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:9531220
line:1319 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:10246210
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:10246255
line:703 task_prio:0 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:10266050
line:1319 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:11102110
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:11102155
line:1319 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:11829510
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:11829555
line:1319 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:28110
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:28155
line:1319 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:28610
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:28655
line:703 task_prio:21 id:255 file_crc:0x59657876 context:2863311530 can_days:0 can_ms:169135
line:1319 task_prio:255 id:25 file_crc:0xfbec9990 context:25 can_days:0 can_ms:0
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:627310
line:2224 task_prio:4 id:30 file_crc:0xa4a15693 context:0 can_days:0 can_ms:627355
